"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"3","01001","L'Abergement-Clémenciat","767"
"4","01002","L'Abergement-de-Varey","241"
"5","01004","Ambérieu-en-Bugey","1809.17"
"6","01004","Ambérieu-en-Bugey","3594.91"
"7","01004","Ambérieu-en-Bugey","4157.85"
"8","01004","Ambérieu-en-Bugey","4565.06"
"9","01005","Ambérieux-en-Dombes","1619"
"10","01006","Ambléon","109"
"11","01007","Ambronay","2615.00"
"12","01008","Ambutrix","747"
"13","01009","Andert-et-Condon","342.00"
"14","01010","Anglefort","1133"
"15","01011","Apremont","390.00"
"16","01012","Aranc","327"
"17","01013","Arandas","153"
"18","01014","Arbent","3392.00"
"19","01015","Arboys en Bugey","637.00"
"20","01016","Arbigny","453"
"21","01017","Argis","433"
"22","01019","Armix","24"
"23","01021","Ars-sur-Formans","1370"
"24","01022","Artemare","1210"
"25","01023","Asnières-sur-Saône","64"
"26","01024","Attignat","3328"
"27","01025","Bâgé-la-Ville","3177.00"
"28","01026","Bâgé-le-Châtel","902.00"
"29","01027","Balan","2997.00"
"30","01028","Baneins","597"
"31","01029","Beaupont","682"
"32","01030","Beauregard","889.00"
"33","01031","Bellignat","3612"
"34","01032","Béligneux","3300.00"
"35","01033","Bellegarde-sur-Valserine","1412.75"
"36","01033","Bellegarde-sur-Valserine","2976.22"
"37","01033","Bellegarde-sur-Valserine","2762.55"
"38","01033","Bellegarde-sur-Valserine","2721.45"
"39","01033","Bellegarde-sur-Valserine","1936.03"
"40","01034","Belley","3105.85"
"41","01034","Belley","3612.22"
"42","01034","Belley","2339.93"
"43","01035","Belleydoux","315"
"44","01036","Belmont-Luthézieu","572"
"45","01037","Bénonces","288"
"46","01038","Bény","747"
"47","01039","Béon","475"
"48","01040","Béréziat","484"
"49","01041","Bettant","753"
"50","01042","Bey","271"
"51","01043","Beynost","4529.00"
"52","01044","Billiat","601.00"
"53","01045","Birieux","287"
"54","01046","Biziat","838"
"55","01047","Blyes","1000"
"56","01049","La Boisse","2937"
"57","01050","Boissey","331"
"58","01051","Bolozon","89"
"59","01052","Bouligneux","309"
"60","01053","Bourg-en-Bresse","1801.79"
"61","01053","Bourg-en-Bresse","1853.45"
"62","01053","Bourg-en-Bresse","2075.38"
"63","01053","Bourg-en-Bresse","2233.73"
"64","01053","Bourg-en-Bresse","2056.60"
"65","01053","Bourg-en-Bresse","1840.19"
"66","01053","Bourg-en-Bresse","2810.02"
"67","01053","Bourg-en-Bresse","3134.45"
"68","01053","Bourg-en-Bresse","2222.32"
"69","01053","Bourg-en-Bresse","2442.41"
"70","01053","Bourg-en-Bresse","1954.25"
"71","01053","Bourg-en-Bresse","2840.62"
"72","01053","Bourg-en-Bresse","2467.15"
"73","01053","Bourg-en-Bresse","2677.60"
"74","01053","Bourg-en-Bresse","1900.17"
"75","01053","Bourg-en-Bresse","1504.95"
"76","01053","Bourg-en-Bresse","1451.48"
"77","01053","Bourg-en-Bresse","3552.44"
"78","01054","Bourg-Saint-Christophe","1284"
